Close,High,Low,Open,Volume
AAPL,AAPL,AAPL,AAPL,AAPL
72.71604919433594,72.77657528699172,71.46678975530806,71.7209963890867,135480400
72.0091323852539,72.77176000550182,71.78397699623217,71.9413434276417,146322800
72.5829086303711,72.62164622763687,70.87607527260708,71.12786596061405,118387200
72.24154663085938,72.84922374466596,72.02123070618616,72.59259363206662,108872000
73.40363311767578,73.70626361557562,71.94374389134458,71.94374389134458,132079200
74.96281433105469,75.15649496744561,74.13239770457567,74.38418105419532,170108400
75.13227081298828,75.69880172853615,74.62869680726308,75.19764374317383,140644800
76.73741149902344,76.76404682603398,75.3307854721379,75.44942165682815,121532000
75.70121002197266,76.88510420958616,75.57774178905865,76.6744745414686,161954400
75.3768081665039,76.38396369325629,74.94343907710318,75.50028381601487,121923600
76.32101440429688,76.4323877854954,75.55838676505513,75.92154348740286,108829200
77.16596221923828,77.16837823985516,76.26290986480943,76.57037988918707,137816400
76.64300537109375,77.23615682397768,76.50500406521856,76.79310894375465,110843200
76.91658020019531,77.47099402402007,76.82215592624772,77.1296258918447,101832400
77.28699493408203,77.3668861399878,76.42025699227077,76.96983874202517,104472000
77.06426239013672,78.2796239983564,76.87299781703734,77.53394558679635,146537600
74.79817962646484,75.48090862271498,73.81281265158368,75.06691204410036,161940000
76.91414642333984,77.08603847633346,75.58257224071698,75.68183593003438,162234000
78.524169921875,79.37395905172454,77.8075426954761,78.55080525794223,216229200
78.4103775024414,78.46364078408652,77.17080373518314,77.60417282727558,126743200
74.93374633789062,78.12225762194025,74.63837863048332,77.69857485901245,199588400
74.72796630859375,75.89732764326911,73.16881293673191,73.67238698147514,173788400
77.19498443603516,77.38624896845539,75.93119925405388,76.3379328465804,136616400
77.8244857788086,78.62585099313237,77.21922459648295,78.32563642255818,118826800
78.73480224609375,78.7372256553915,77.53638940614043,78.09565020914057,105425600
77.6645736694336,78.48240085764334,77.1719355094332,78.23244174012544,117684000
78.03343200683594,78.03343200683594,76.16480809009461,76.24488890405078,109348800
77.5626449584961,78.60374012100387,77.34423530217373,78.53093937088862,94323200
79.40459442138672,79.40944533661985,78.01404068842541,78.01404068842541,113730400
78.83914947509766,79.16676770573471,78.47027994928578,78.6741294824432,94747600
78.85855102539062,79.10851012138082,78.34892359887368,78.80758309855572,80113600
77.41459655761719,77.59660579717271,76.34923225388421,76.53124149343974,152531200
78.53578186035156,78.76632988761132,77.65728500864738,77.65728500864738,93984000
77.73009490966797,78.78575023333428,77.22289659591061,78.29554123010857,100566000
75.97066497802734,77.76649566805042,75.35183643347615,77.32238890983989,129554000
72.36202239990234,73.81809639904387,70.19004979476811,72.13876186738017,222195200
69.91098022460938,73.41769559790279,69.4377605020185,73.03426594239946,230673600
71.02002716064453,72.28924134156426,69.5275523864246,69.53483246216315,198054800
66.37755584716797,69.4061923618355,66.24165620285358,68.21706677109698,320605600
66.33872985839844,67.56426328843753,62.21561589566721,62.43160376696,426510000
72.51492309570312,73.15317015362184,67.39682304876307,68.50343887480543,341397200
70.2118911743164,73.77441717355254,69.35765634090362,73.69433636090781,319475600
73.46868133544922,73.62885045844551,71.1365383275642,71.93980569790787,219178400
71.0855484008789,72.69450423193115,70.7191006767236,71.71650798671432,187572800
70.14152526855469,70.57592284013839,68.24863164787311,68.43549184953756,226176800
64.5938949584961,67.48662548846899,63.8245990046388,64.00660831738968,286744800
69.24603271484375,69.5129811258908,65.37044835521063,67.25606913589775,285290000
66.84107971191406,68.24619329059158,65.9747138459021,67.31673591637701,255598800
60.24021530151367,65.52333888472222,60.18440016078189,62.111272274536645,418474000
67.45748901367188,67.93071607578169,61.38565875889742,64.28325061879912,370732000
58.77928924560547,62.87327957704444,58.24296696218062,58.71619032815072,322423600
61.36381912231445,62.5165408014644,57.854678750743666,60.06548484229005,324056000
59.86163330078125,60.66975488014331,57.54404792376218,58.18714954728448,300233600
59.40297317504883,61.35896558109421,58.87636011980493,60.036365596883776,271857200
55.63174057006836,61.11385881136198,55.330817248448476,59.98539913252844,401693200
54.44989013671875,55.45215566699075,51.59598621533572,55.35023092369006,336752800
59.91258239746094,60.109151761164675,56.85968065833048,57.35959871984543,287531200
59.58255386352539,62.67185674280047,59.286485163699844,60.85176409780143,303602000
62.71797180175781,62.77621240154902,59.78640854897909,59.82523808416542,252087200
60.12130355834961,62.09428153233142,59.95385443702902,61.33712415208677,204216800
61.83704376220703,62.0093475048291,60.52414930589501,60.849342024154396,167976400
61.71084976196289,63.700817094858024,61.15511640489983,62.0287624061651,197002000
58.46380615234375,60.35912878890937,58.031837774101646,59.82038104472191,176218400
59.43937301635742,59.49276269917482,57.49066070248686,58.32547715782636,165934000
58.585140228271484,59.626231543601605,57.99300285608874,58.9224639013772,129880000
63.695960998535156,63.851271716138356,60.51929359909339,60.88816303362977,201820400
62.95820236206055,65.93587801423655,62.853852184130766,65.7174610200914,202887200
64.56959533691406,64.88507503558087,63.39503001062034,63.76147021932345,168895200
65.0355453491211,65.54032183594127,64.23713674062121,65.20785277807086,161834800
66.31204986572266,66.42125839971293,64.51136807094039,65.11321477612952,131022800
69.6610107421875,69.95222853281514,67.47689953040836,67.95012658868427,194994800
69.02519226074219,69.48628092008256,68.10301494206142,68.53255414367216,131154400
69.57365417480469,69.94010189303526,68.52042803590564,69.74110330393147,157125200
68.62962341308594,69.63674726381512,67.1881094519009,69.08829031254295,215250000
67.20509338378906,68.35781862849281,67.18568232250739,67.45263070247596,130015200
65.12776947021484,67.28276042085989,64.41429253639382,67.0473614677832,180991600
