Date,Close,High,Low,Open,Volume,SMA_50,SMA_200,EMA_12,EMA_26,MACD,Signal,RSI,SMA_20,BB_Upper,BB_Lower,L14,H14,%K,%D,High-Low,High-Close,Low-Close,True Range,ATR,OBV
2020-01-02,72.71605682373047,72.77658292273667,71.46679725362982,71.72100391407992,135480400,0.0,0.0,72.71605682373047,72.71605682373047,0.0,0.0,0.0,0.0,0.0,0.0,71.46679725362982,72.77658292273667,95.3789309665253,95.3789309665253,1.3097856691068444,0.0,0.0,1.3097856691068444,0.0,-135480400
2020-01-03,72.00910949707031,72.77173687491619,71.78395417961447,71.9413205610049,146322800,0.0,0.0,72.60729569655199,72.66369035508899,-0.056394658537001874,-0.011278931707400375,0.0,0.0,0.0,0.0,71.46679725362982,72.77658292273667,41.404655419405614,68.39179319296545,0.9877826953017177,0.055680051185717616,0.9321026441160001,0.9877826953017177,0.0,-281803200
2020-01-06,72.58289337158203,72.62163096070418,70.87606037263818,71.12785100771227,118387200,0.0,0.0,72.60354149271045,72.65770539334773,-0.05416390063727761,-0.019855925493375823,0.0,0.0,0.0,0.0,70.87606037263818,72.77658292273667,89.8086159491934,75.5307341117081,1.745570588066002,0.6125214636338683,1.1330491244321337,1.745570588066002,0.0,-163416000
2020-01-07,72.24154663085938,72.84922374466596,72.02123070618616,72.59259363206662,108872000,0.0,0.0,72.54784997550259,72.6268788183486,-0.07902884284601441,-0.031690508963903546,0.0,0.0,0.0,0.0,70.87606037263818,72.84922374466596,69.20289910540362,66.80539015800088,0.8279930384798035,0.2663303730839317,0.5616626653958718,0.8279930384798035,0.0,-272288000
2020-01-08,73.40364074707031,73.70627127642481,71.94375136900179,71.94375136900179,132079200,0.0,0.0,72.67951009420531,72.68441673899466,-0.004906644789343773,-0.02633373612899159,0.0,0.0,0.0,0.0,70.87606037263818,73.70627127642481,89.30713856544493,82.77288454001398,1.7625199074230267,1.4647246455654397,0.297795261857587,1.7625199074230267,0.0,-140208800
2020-01-09,74.96280670166016,75.15648731833909,74.1323901596974,74.38417348369161,170108400,0.0,0.0,73.0307864953522,72.85318636585876,0.17760012949344173,0.014453036995495074,0.0,0.0,0.0,0.0,70.87606037263818,75.15648731833909,95.47520328951742,84.66174698678866,1.0240971586416947,1.7528465712687762,0.7287494126270815,1.7528465712687762,0.0,29899600
2020-01-10,75.13227081298828,75.69880172853615,74.62869680726308,75.19764374317383,140644800,0.0,0.0,73.35409177498852,73.02200743601651,0.3320843389720096,0.07797929739079798,0.0,0.0,0.0,0.0,70.87606037263818,75.69880172853615,88.2529276479328,91.01175650096506,1.0701049212730709,0.7359950268759974,0.3341098943970735,1.0701049212730709,0.0,170544400
2020-01-13,76.73743438720703,76.764069722162,75.33080794077236,75.44944416084779,121532000,0.0,0.0,73.87460602302214,73.29722424721581,0.5773817758063302,0.17785979307390443,0.0,0.0,0.0,0.0,70.87606037263818,76.764069722162,99.54763427893324,94.42525507212783,1.4332617813896462,1.6317989091737246,0.1985371277840784,1.6317989091737246,0.0,292076400
2020-01-14,75.70122528076172,76.88511970700802,75.57775702296071,76.67448999643469,161954400,0.0,0.0,74.1556243703667,73.47529839784885,0.6803259725178492,0.2783530289626934,0.0,0.0,0.0,0.0,70.87606037263818,76.88511970700802,80.29817378773757,89.3662452382012,1.3073626840473054,0.14768531980098487,1.1596773642463205,1.3073626840473054,0.0,130122000
2020-01-15,75.37677764892578,76.38393276791417,74.94340873498187,75.50025324844553,121923600,0.0,0.0,74.34349410552963,73.61614871274342,0.727345392786205,0.36815150172739575,0.0,0.0,0.0,0.0,70.87606037263818,76.88511970700802,74.89886561438985,84.91489122702022,1.4405240329323021,0.6827074871524559,0.7578165457798463,1.4405240329323021,0.0,8198400
