Date,Close,High,Low,Open,Volume,SMA_50,SMA_200,EMA_12,EMA_26,MACD,Signal,RSI,SMA_20,BB_Upper,BB_Lower,L14,H14,%K,%D,High-Low,High-Close,Low-Close,True Range,ATR,OBV,News_Sentiment
2020-01-02,72.71607208251953,72.77659819422657,71.46681225027338,71.72101896406637,135480400,0.0,0.0,72.71607208251953,72.71607208251953,0.0,0.0,0.0,0.0,0.0,0.0,71.46681225027338,72.77659819422657,95.37893096652542,95.37893096652542,1.3097859439531874,0.0,0.0,1.3097859439531874,0.0,-135480400,0.0
2020-01-03,72.00912475585938,72.7717522953066,71.78396939069293,71.94133580542943,146322800,0.0,0.0,72.60731095534105,72.66370561387804,-0.0563946585369876,-0.0112789317073975,0.0,0.0,0.0,0.0,71.46681225027338,72.77659819422657,41.40466674540316,68.39179885596428,0.9877829046136668,0.0556802127870668,0.9321026918266,0.9877829046136668,0.0,-281803200,0.0
2020-01-06,72.5829086303711,72.62164622763687,70.87607527260708,71.12786596061405,118387200,0.0,0.0,72.60355675149953,72.65772065213677,-0.0541639006372491,-0.0198559254933678,0.0,0.0,0.0,0.0,70.87607527260708,72.77659819422657,89.80861727316027,75.53073832836294,1.745570955029791,0.612521471777498,1.133049483252293,1.745570955029791,0.0,-163416000,0.0
2020-01-07,72.24154663085938,72.84922374466596,72.02123070618616,72.59259363206662,108872000,0.0,0.0,72.54786288678565,72.62689294685697,-0.079030060071318,-0.0316907524089579,0.0,0.0,0.0,0.0,70.87607527260708,72.84922374466596,69.20266654518227,66.8053168545819,0.8279930384798035,0.2663151142948692,0.5616779241849343,0.8279930384798035,0.0,-272288000,0.0
2020-01-08,73.40364074707031,73.70627127642481,71.94375136900179,71.94375136900179,132079200,0.0,0.0,72.67952101913714,72.68442982094685,-0.0049088018097052,-0.0263343622891073,0.0,0.0,0.0,0.0,70.87607527260708,73.70627127642481,89.30708227135696,82.7727886965665,1.7625199074230269,1.4647246455654397,0.297795261857587,1.7625199074230269,0.0,-140208800,0.0
2020-01-09,74.96281433105469,75.15649496744561,74.13239770457567,74.38418105419532,170108400,0.0,0.0,73.0307969132783,72.8531990439178,0.1775978693604969,0.0144520840408134,0.0,0.0,0.0,0.0,70.87607527260708,75.15649496744561,95.47519516417464,84.6616479935713,1.0240972628699438,1.7528542203752977,0.7287569575053539,1.7528542203752977,0.0,29899600,0.0
2020-01-10,75.13227081298828,75.69880172853615,74.62869680726308,75.19764374317383,140644800,0.0,0.0,73.35410059015675,73.02201917496005,0.3320814151966971,0.0779779502719902,0.0,0.0,0.0,0.0,70.87607527260708,75.69880172853615,88.25289135497397,91.01172293016852,1.0701049212730709,0.7359873974814661,0.3341175237916047,1.0701049212730709,0.0,170544400,0.0
2020-01-13,76.7374267578125,76.76406209011934,75.33080045122755,75.44943665950792,121532000,0.0,0.0,73.87461230825762,73.29723455146764,0.5773777567899856,0.1778579115755893,0.0,0.0,0.0,0.0,70.87607527260708,76.76406209011934,99.54763259280584,94.4252397039848,1.4332616388917927,1.6317912771310574,0.1985296382392647,1.6317912771310574,0.0,292076400,0.0
2020-01-14,75.7011947631836,76.8850887121643,75.57772655515659,76.67445908650251,161954400,0.0,0.0,74.15562499363085,73.4753056782614,0.6803193153694451,0.2783501923343605,0.0,0.0,0.0,0.0,70.87607527260708,76.8850887121643,80.29803125434636,89.36618506737538,1.3073621570077163,0.147661954351804,1.1597002026559124,1.3073621570077163,0.0,130122000,0.0
2020-01-15,75.37681579589844,76.3839714245918,74.9434466626335,75.5002914579072,121923600,0.0,0.0,74.34350050167203,73.61615827956786,0.7273422221041699,0.3681485982883223,0.0,0.0,0.0,0.0,70.87607527260708,76.8850887121643,74.89982453548976,84.91516279421398,1.4405247619583008,0.6827766614082122,0.7577481005500886,1.4405247619583008,0.0,8198400,0.0
