id;stock;news_dt;check_day;open;close;high;low;volume;change;sentiment_summary_avg;sentiment_summary_med;sentiment_title_avg;sentiment_title_med
AAPL_2025-03-03;AAPL;2025-03-03 21:54:30;2025-03-04;0;0;0;0;0;UNCHECKED;-0.07781578947368421;0.0;0.04779473684210526;0.0
AAPL_2025-03-02;AAPL;2025-03-02 11:00:36;2025-03-03;0;0;0;0;0;UNCHECKED;0.0;0.0;0.0;0.0
